Crop,Temperature,Humidity,Rainfall,Label_N,Label_P,Label_K
rice,18,50,0,100,50,40
rice,18,50,25,90,45,36
rice,18,50,85,70,35,28
rice,18,50,160,40,20,16
rice,18,50,250,0,0,0
rice,18,65,0,100,50,40
rice,18,65,25,90,45,36
rice,18,65,85,70,35,28
rice,18,65,160,40,20,16
rice,18,65,250,0,0,0
rice,18,80,0,95,50,40
rice,18,80,25,85,45,36
rice,18,80,85,65,35,28
rice,18,80,160,35,20,16
rice,18,80,250,0,0,0
rice,23,50,0,100,50,40
rice,23,50,25,90,45,36
rice,23,50,85,70,35,28
rice,23,50,160,40,20,16
rice,23,50,250,0,0,0
rice,23,65,0,100,50,40
rice,23,65,25,90,45,36
rice,23,65,85,70,35,28
rice,23,65,160,40,20,16
rice,23,65,250,0,0,0
rice,23,80,0,95,50,40
rice,23,80,25,85,45,36
rice,23,80,85,65,35,28
rice,23,80,160,35,20,16
rice,23,80,250,0,0,0
rice,28,50,0,100,50,40
rice,28,50,25,90,45,36
rice,28,50,85,70,35,28
rice,28,50,160,40,20,16
rice,28,50,250,0,0,0
rice,28,65,0,100,50,40
rice,28,65,25,90,45,36
rice,28,65,85,70,35,28
rice,28,65,160,40,20,16
rice,28,65,250,0,0,0
rice,28,80,0,95,50,40
rice,28,80,25,85,45,36
rice,28,80,85,65,35,28
rice,28,80,160,35,20,16
rice,28,80,250,0,0,0
rice,33,50,0,100,50,45
rice,33,50,25,90,45,41
rice,33,50,85,70,35,33
rice,33,50,160,40,20,21
rice,33,50,250,0,0,0
rice,33,65,0,100,50,45
rice,33,65,25,90,45,41
rice,33,65,85,70,35,33
rice,33,65,160,40,20,21
rice,33,65,250,0,0,0
rice,33,80,0,95,50,45
rice,33,80,25,85,45,41
rice,33,80,85,65,35,33
rice,33,80,160,35,20,21
rice,33,80,250,0,0,0
wheat,18,50,0,100,50,40
wheat,18,50,25,90,45,36
wheat,18,50,85,70,35,28
wheat,18,50,160,40,20,16
wheat,18,50,250,0,0,0
wheat,18,65,0,100,50,40
wheat,18,65,25,90,45,36
wheat,18,65,85,70,35,28
wheat,18,65,160,40,20,16
wheat,18,65,250,0,0,0
wheat,18,80,0,95,50,40
wheat,18,80,25,85,45,36
wheat,18,80,85,65,35,28
wheat,18,80,160,35,20,16
wheat,18,80,250,0,0,0
wheat,23,50,0,100,50,40
wheat,23,50,25,90,45,36
wheat,23,50,85,70,35,28
wheat,23,50,160,40,20,16
wheat,23,50,250,0,0,0
wheat,23,65,0,100,50,40
wheat,23,65,25,90,45,36
wheat,23,65,85,70,35,28
wheat,23,65,160,40,20,16
wheat,23,65,250,0,0,0
wheat,23,80,0,95,50,40
wheat,23,80,25,85,45,36
wheat,23,80,85,65,35,28
wheat,23,80,160,35,20,16
wheat,23,80,250,0,0,0
wheat,28,50,0,100,50,40
wheat,28,50,25,90,45,36
wheat,28,50,85,70,35,28
wheat,28,50,160,40,20,16
wheat,28,50,250,0,0,0
wheat,28,65,0,100,50,40
wheat,28,65,25,90,45,36
wheat,28,65,85,70,35,28
wheat,28,65,160,40,20,16
wheat,28,65,250,0,0,0
wheat,28,80,0,95,50,40
wheat,28,80,25,85,45,36
